SITE_ID,dataset,start_year,end_year,IGBP,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,SITE_NAME,koppen_sub,koppen_main,koppen_name,koppen_main_name,C3/C4,C4_percent,Species Description,Notes,link
CA-TP4,AmeriFlux,2002,2017,ENF,184,42.7102,-80.3574,Ontario - Turkey Point 1939 Plantation White Pine,26,4,Dfb,Cold,C3,0,,,
CA-WP1,AmeriFlux,2003,2009,WET,540,54.9538,-112.467,"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen",27,4,Dfc,Cold,C3,0.07,,,
CA-WP2,AmeriFlux,2004,2006,WET,,55.5375,-112.3343,Alberta - Western Peatland - Poor Fen (Sphagnum moss),27,4,Dfc,Cold,C3,0.16,,,
CA-WP3,AmeriFlux,2004,2006,WET,,54.47,-113.32,Alberta - Western Peatland - Rich Fen  (Carex),27,4,Dfc,Cold,C3,0.43,,,
US-AR1,AmeriFlux,2009,2012,GRA,611,36.4267,-99.42,ARM USDA UNL OSU Woodward Switchgrass 1,14,3,Cfa,Temperate,C4,27.54,"<2009,  native prairie; 2009 burned grazed; >2010 switchgrass; Panicum virgatum",,https://ameriflux.lbl.gov/sites/siteinfo/US-AR1#overview
US-AR2,AmeriFlux,2009,2012,GRA,646,36.6358,-99.5975,ARM USDA UNL OSU Woodward Switchgrass 2,14,3,Cfa,Temperate,C4,27.54,switchgrass,,
US-ARM,AmeriFlux,2003,2018,CRO,314,36.6058,-97.4888,ARM Southern Great Plains site- Lamont,14,3,Cfa,Temperate,mix,15.97,"Central facility tower crop field (winter wheat, corn, soy, alfalfa). The site also has continuous measurements of precise mixing ratios of CO2, CH4, CO, N2O, and isotopic ratio of 13CO2. In addition to 4 m system, there are sonic anemometers at 25 m and 60 m.",mixed,
US-ARb,AmeriFlux,2005,2006,GRA,424,35.5497,-98.0402,ARM Southern Great Plains burn site- Lamont,14,3,Cfa,Temperate,C4,20.41,"Dominant species included big bluestem (Andropogon gerardi Vitman), little bluestem (Schizachyrium halapense (Michx.) Nash.), and others common to tallgrass prairie ecosystems.",,https://www.sciencedirect.com/science/article/pii/S0168192312002456?via=ihub
US-ARc,AmeriFlux,2005,2006,GRA,424,35.5465,-98.04,ARM Southern Great Plains control site- Lamont,14,3,Cfa,Temperate,C4,20.41,"Dominant species included big bluestem (Andropogon gerardi Vitman), little bluestem (Schizachyrium halapense (Michx.) Nash.), and others common to tallgrass prairie ecosystems.",,
US-Bar,AmeriFlux,2005,2017,DBF,272,44.0646,-71.2881,Bartlett Experimental Forest,26,4,Dfb,Cold,C3,0,,,
US-Bi1,AmeriFlux,2016,2017,CRO,-2.7,38.0992,-121.4993,Bouldin Island Alfalfa,8,3,Csa,Temperate,C3,1.03,,,
US-Bi2,AmeriFlux,2017,2017,CRO,-5,38.1091,-121.5351,Bouldin Island corn,8,3,Csa,Temperate,C4,1.03,,,
US-CRT,AmeriFlux,2011,2013,CRO,180,41.6285,-83.3471,Curtice Walter-Berger cropland,25,4,Dfa,Cold,C3,29.26,"During the study period, the cropland was planted with soybean and winter wheat.",,
US-Dk1,AmeriFlux,2001,2008,GRA,168,35.9712,-79.0934,Duke Forest-open field,14,3,Cfa,Temperate,C3,1.95,"The Duke Forest grass field is approximately 480×305 m, dominated by the C3 grass Festuca arundinacea Shreb. (tall fescue) includes minor components of C3 herbs and the C4 grass Schizachyrium scoparium (Michx.)",,
US-Dk2,AmeriFlux,2001,2008,DBF,168,35.9736,-79.1004,Duke Forest-hardwoods,14,3,Cfa,Temperate,C3,1.95,,,
US-Dk3,AmeriFlux,2001,2008,ENF,163,35.9782,-79.0942,Duke Forest - loblolly pine,14,3,Cfa,Temperate,C3,1.95,,,
US-FR2,AmeriFlux,2005,2008,WSA,271.9,29.9495,-97.9962,Freeman Ranch- Mesquite Juniper,14,3,Cfa,Temperate,C3,18.37,,,
US-Fmf,AmeriFlux,2005,2010,ENF,2160,35.1426,-111.7273,Flagstaff - Managed Forest,18,4,Dsb,Cold,C3,30.3,,,
US-Fuf,AmeriFlux,2005,2010,ENF,2180,35.089,-111.762,Flagstaff - Unmanaged Forest,18,4,Dsb,Cold,C3,30.3,,,
US-Ho1,AmeriFlux,1996,2018,ENF,60,45.2041,-68.7402,Howland Forest (main tower),26,4,Dfb,Cold,C3,0,,,
US-KFS,AmeriFlux,2007,2017,GRA,310,39.0561,-95.1907,Kansas Field Station,25,4,Dfa,Cold,mix,48.63,"""We also used US-KFS, which is a C3/C4 mixed grassland that was previously agricultural land at the Kansas Field Station outside of Lawrence, Kansas""",,https://www.mdpi.com/2071-1050/11/6/1640/htm
US-MMS,AmeriFlux,1999,2017,DBF,275,39.3232,-86.4131,Morgan Monroe State Forest,25,4,Dfa,Cold,C3,42.28,,,
US-Me2,AmeriFlux,2002,2017,ENF,1253,44.4523,-121.5574,Metolius mature ponderosa pine,18,4,Dsb,Cold,C3,0.03,,,
US-Men,AmeriFlux,2014,2017,WAT,260,43.0772,-89.403,"Lake Mendota, Center for Limnology Site",25,4,Dfa,Cold,C3,2.35,,,
US-Mpj,AmeriFlux,2008,2017,OSH,2138,34.4384,-106.2377,Mountainair Pinyon-Juniper Woodland,7,2,BSk,Arid,C3,0.24,,,
US-OWC,AmeriFlux,2015,2016,WET,174,41.3795,-82.5125,Old Woman Creek,25,4,Dfa,Cold,C3,0,,,
US-Oho,AmeriFlux,2004,2013,DBF,230,41.5545,-83.8438,Oak Openings,25,4,Dfa,Cold,C3,29.26,,,
US-Pnp,AmeriFlux,2016,2017,WAT,260,43.0896,-89.4158,"Lake Mendota, Picnic Point Site",25,4,Dfa,Cold,C3,2.35,,,
US-Prr,AmeriFlux,2010,2016,ENF,210,65.1237,-147.4876,Poker Flat Research Range Black Spruce Forest,27,4,Dfc,Cold,C3,0,,,
US-Rls,AmeriFlux,2014,2017,CSH,1608,43.1439,-116.7356,RCEW Low Sagebrush,7,2,BSk,Arid,C3,0.08,,,
US-Rms,AmeriFlux,2014,2017,CSH,2111,43.0645,-116.7486,RCEW Mountain Big Sagebrush,18,4,Dsb,Cold,C3,0.08,,,
US-Ro1,AmeriFlux,2004,2016,CRO,260,44.7143,-93.0898,Rosemount- G21,25,4,Dfa,Cold,rotation,24.84,a corn/soybean rotation with chisel plow tillage in the fall following corn harvest and in the spring following soybeans.,,
US-Ro4,AmeriFlux,2014,2017,GRA,274,44.6781,-93.0723,Rosemount Prairie,25,4,Dfa,Cold,C4,24.84,"This tower is located in restored prairie in a former agricultural area. Dominant species include Andropogon gerardii, Sorghastrum nutans and Elymus canadensis",,
US-Ro5,AmeriFlux,2017,2017,CRO,283,44.691,-93.0576,Rosemount I18_South,25,4,Dfa,Cold,rotation,24.84,a corn/soybean rotation with chisel plow tillage in the fall following corn harvest and in the spring following soybeans,,
US-Ro6,AmeriFlux,2017,2017,CRO,282,44.6946,-93.0578,Rosemount I18_North,25,4,Dfa,Cold,rotation,24.84, a corn/soybean/clover (living mulch/cover crop) rotation with chisel plow tillage in the fall following corn harvest and in the spring following soybeans.,,
US-Rws,AmeriFlux,2014,2017,OSH,1425,43.1675,-116.7132,Reynolds Creek Wyoming big sagebrush,7,2,BSk,Arid,C3,0.08,,,
US-SRG,AmeriFlux,2008,2017,GRA,1291,31.7894,-110.8277,Santa Rita Grassland,6,2,BSh,Arid,C4,55.39,"Semidesert C4 grassland, lies in Pasture 1 on the Santa Rita Experimental Range.  This is the companion site for US-SRM, but has much less mesquite encroachment.",from Maoya's notes,
US-Seg,AmeriFlux,2007,2017,GRA,1622,34.3623,-106.7019,Sevilleta grassland,5,2,BWk,Arid,mix,0.24,"Bouteloua eriopoda (C4), Gutierrezia sarothrae (C3), Ceratoides lanata (C3)",,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2010.02269.x
US-Ses,AmeriFlux,2007,2017,OSH,1593,34.3349,-106.7442,Sevilleta shrubland,5,2,BWk,Arid,C3,0.24,,,
US-Tw1,AmeriFlux,2011,2017,WET,-5,38.1074,-121.6469,Twitchell Wetland West Pond,8,3,Csa,Temperate,C3,1.03,,,
US-Tw2,AmeriFlux,2012,2013,CRO,-5,38.1047,-121.6433,Twitchell Corn,8,3,Csa,Temperate,C4,1.03,,,
US-Tw4,AmeriFlux,2013,2017,WET,-5,38.1027,-121.6413,Twitchell East End Wetland,8,3,Csa,Temperate,C3,1.03,,,
US-UMB,AmeriFlux,2007,2017,DBF,234,45.5598,-84.7138,Univ. of Mich. Biological Station,26,4,Dfb,Cold,C3,10.72,,,
US-UMd,AmeriFlux,2007,2017,DBF,239,45.5625,-84.6975,UMBS Disturbance,26,4,Dfb,Cold,C3,10.72,,,
US-Uaf,AmeriFlux,2003,2017,ENF,155,64.8663,-147.8555,"University of Alaska, Fairbanks",27,4,Dfc,Cold,C3,0,,,
US-Vcm,AmeriFlux,2007,2017,ENF,3003,35.8884,-106.5321,Valles Caldera Mixed Conifer,27,4,Dfc,Cold,C3,0.04,,,
US-Vcp,AmeriFlux,2007,2017,ENF,2542,35.8624,-106.5974,Valles Caldera Ponderosa Pine,26,4,Dfb,Cold,C3,0.04,,,
US-Wgr,AmeriFlux,2015,2015,CRO,52,45.1129,-122.656,Willamette Grass,9,3,Csb,Temperate,C3,0.28,The crop changes periodically and rye grass and fescue is grown alternately at this site located in Oregon's Willamette Valley with its relatively mild climate,,
US-Wjs,AmeriFlux,2007,2017,SAV,1931,34.4255,-105.8615,Willard Juniper Savannah,7,2,BSk,Arid,C3,0.14,,,
BE-Bra,ICOS2020,1996,2020,MF,16,51.30761,4.51984,Brasschaat,15,3,Cfb,Temperate,C3,0,,,
BE-Dor,ICOS2020,2011,2020,GRA,247,50.31135,4.968591,Dorinne,15,3,Cfb,Temperate,C3,0.38,"The grassland species composition is: 66% grasses, 16% legumes and 18% other species. The dominant species are perennial ryegrass (Lolium perenne L.) and white clover (Trifolium repens L.). ",,https://www.sciencedirect.com/science/article/pii/S0168192316303069?casa_token=bNqb-CDtiJcAAAAA:5KdJMYBcAHRVVl_S60MKb6yoRIsS2iSgFiCtQDMo35ioiycOdXWt29xlP0TC3Ah_sn4vYkPFUbU
BE-Lcr,ICOS2020,2019,2020,DBF,6,51.11218,3.85043,Lochristi,15,3,Cfb,Temperate,C3,0,,,
BE-Lon,ICOS2020,2004,2020,CRO,170,50.55162,4.746234,Lonzee,15,3,Cfb,Temperate,rotation,0.38,"Production crop : 4 years roation typical of central Belgium including seed potatoes (2010, 2014 and 2018). ",likely mixed,https://presentations.copernicus.org/EGU2020/EGU2020-5183_presentation.pdf
BE-Maa,ICOS2020,2016,2020,CSH,87,50.97987,5.631851,Maasmechelen,15,3,Cfb,Temperate,C3,0.43,,,
BE-Vie,ICOS2020,1996,2020,MF,493,50.30493,5.99812,Vielsalm,26,4,Dfb,Cold,C3,0.43,,,
CH-Aws,ICOS2020,2006,2020,GRA,1988,46.583306,9.790417,Alp Weissenstein,29,5,ET,Polar,C3,1.47,,,
CH-Cha,ICOS2020,2005,2020,GRA,393,47.21022,8.41044,Chamau,26,4,Dfb,Cold,C3,0,"The dominant vegetation for Chamau is a mixture of Italian ryegrass (Lolium multiflorum) and white clover (Trifolium repens), predominantly used for fodder production and occasional winter grazing by sheep. ",,https://www.sciencedirect.com/science/article/pii/S0168192310000341?via%3Dihub
CH-Dav,ICOS2020,1997,2020,ENF,1639,46.81533,9.85591,Davos,27,4,Dfc,Cold,C3,1.47,,,
CH-Fru,ICOS2020,2005,2020,GRA,982,47.11583,8.53778,Fr‚àö¬∫eb‚àö¬∫el,26,4,Dfb,Cold,C3,0,"he species mixture consists of ryegrass (Lolium sp.), meadow foxtail (Alopecurus pratensis), cocksfoot grass (Dactylis glomerata), dandelion (T. officinale), buttercup (Ranunculus sp.) and white clover (T. repens), which cover up to 90% of the surface.",,https://royalsocietypublishing.org/doi/full/10.1098/rstb.2019.0521
CH-Lae,ICOS2020,2004,2020,MF,689,47.47833,8.36439,Laegern,26,4,Dfb,Cold,C3,0,,,
CH-Oe2,ICOS2020,2004,2020,CRO,452,47.28642,7.73375,Oensingen crop,26,4,Dfb,Cold,C3,0.11," The main crop has been winter wheat, which is usually planted every third year followed by winter barley. The third crop in the rotation was either potato, winter rapeseed or peas. ",,https://bg.copernicus.org/articles/15/5377/2018/
CZ-BK1,ICOS2020,2004,2020,ENF,875,49.50208,18.53688,Bily Kriz forest,26,4,Dfb,Cold,C3,0,,,
CZ-KrP,ICOS2020,2014,2020,CRO,534,49.573257,15.078773,Kresin u Pacova,26,4,Dfb,Cold,unknown,0,,,
CZ-Lnz,ICOS2020,2015,2020,DBF,150,48.68155,16.946331,Lanzhot,26,4,Dfb,Cold,C3,7.36,,,
CZ-RAJ,ICOS2020,2012,2020,ENF,649,49.4437236,16.6965125,Rajec,26,4,Dfb,Cold,C3,0,,,
CZ-Stn,ICOS2020,2010,2020,DBF,562,49.035975,17.9699,Stitna,26,4,Dfb,Cold,C3,0,,,
CZ-wet,ICOS2020,2006,2020,WET,426,49.02465,14.77035,Trebon (CZECHWET),26,4,Dfb,Cold,C3,0,,,
DE-Akm,ICOS2020,2009,2020,WET,-1,53.86617,13.68342,Anklam,26,4,Dfb,Cold,C3,0,,,
DE-Geb,ICOS2020,2001,2020,CRO,161.5,51.09973,10.91463,Gebesee,26,4,Dfb,Cold,C3,0,Beta vulgaris L./Solanumtuberosum/Brassica napus,,https://bsssjournals.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2389.2010.01277.x
DE-Gri,ICOS2020,2004,2020,GRA,385,50.95004,13.51259,Grillenburg,26,4,Dfb,Cold,C3,0,"Typical plant species are couch grass (Elymus repens (L.) Gould ), meadow foxtail (Alopecurus pratensis (L.)), yarrow (Achillea millefolium), common sorrel (Rumex acetosa) and white clover (Trifolium repens). ",,https://meta.icos-cp.eu/resources/stations/ES_DE-Gri
DE-Hai,ICOS2020,2000,2020,DBF,430,51.07921,10.45217,Hainich,26,4,Dfb,Cold,C3,0,,,
DE-HoH,ICOS2020,2015,2020,DBF,193,52.08656,11.22235,Hohes Holz,26,4,Dfb,Cold,C3,0,,,
DE-Hzd,ICOS2020,2010,2020,DBF,395,50.96381,13.48978,Hetzdorf,26,4,Dfb,Cold,C3,0,,,
DE-Kli,ICOS2020,2004,2020,CRO,478,50.89306,13.52238,Klingenberg,26,4,Dfb,Cold,C3,0,"The ecosystem is an intensively managed farmland (5-year crop rotation including rapeseed, winter wheat, forage maize, spring barley and winter barley as well as occasional catch crop)",some maize,
DE-Obe,ICOS2020,2008,2020,ENF,734,50.78666,13.72129,Oberb‚àö¬ßrenburg,26,4,Dfb,Cold,C3,0,,,
DE-RuR,ICOS2020,2011,2020,GRA,514.7,50.62191,6.30413,Rollesbroich,26,4,Dfb,Cold,C3,0,"The vegetation of the site belongs mostly to the Ranunculus repens-Alopecurus pratensis plant community with the major species i.e. Alopecurus pratensis, Lolium perenne, Poa trivialis and Rumex acetosa",,https://meta.icos-cp.eu/resources/stations/ES_DE-RuR
DE-RuS,ICOS2020,2011,2020,CRO,102.755,50.86591,6.44714,Selhausen Juelich,15,3,Cfb,Temperate,C3,0,"he field has a size of 9.7 ha, a slope of about 0.3°, and is surrounded by fields with the same type of crop rotation, occasionally including additional crops such as rapeseed, potatoes, maize oat and white mustard",,https://meta.icos-cp.eu/resources/stations/ES_DE-RuS
DE-RuW,ICOS2020,2012,2020,ENF,610,50.50493,6.3309627,Wustebach,26,4,Dfb,Cold,C3,0,,,
DE-Tha,ICOS2020,1996,2020,ENF,385,50.96256,13.56515,Tharandt,26,4,Dfb,Cold,C3,0,,,
DK-Gds,ICOS2020,2020,2020,ENF,86,56.0737,9.3341,Gludsted Plantage,26,4,Dfb,Cold,C3,0,,,
DK-Sor,ICOS2020,1996,2020,DBF,40,55.48587,11.64464,Soroe,26,4,Dfb,Cold,C3,0,,,
ES-Abr,ICOS2020,2015,2020,WSA,279,38.701839,-6.785881,Albuera,8,3,Csa,Temperate,C3,1.13,,,
ES-Agu,ICOS2020,2006,2020,OSH,202,36.940046,-2.033208,Aguamarga,5,2,BWk,Arid,C3,0,,,
ES-Cnd,ICOS2020,2014,2020,EBF,366,37.914998,-3.227659,Conde,7,2,BSk,Arid,C3,1.77,,,
ES-LJu,ICOS2020,2004,2020,OSH,1600,36.92659,-2.75212,Llano de los Juanes,8,3,Csa,Temperate,C3,0,,,
ES-LM1,ICOS2020,2014,2020,WSA,266,39.94269,-5.778683,Majadas del Tietar North,7,2,BSk,Arid,C3,1.3,,,
ES-LM2,ICOS2020,2014,2020,WSA,270,39.934592,-5.775881,Majadas del Tietar South,7,2,BSk,Arid,C3,1.3,,,
FI-Hyy,ICOS2020,1996,2020,ENF,181,61.84741,24.29477,Hyytiala,27,4,Dfc,Cold,C3,0,,,
FI-Ken,ICOS2020,2018,2020,ENF,347,67.98721,24.24301,Kenttarova,27,4,Dfc,Cold,C3,0,,,
FI-Let,ICOS2020,2009,2020,ENF,125,60.64183,23.95952,Lettosuo,27,4,Dfc,Cold,C3,0,,,
FI-Qvd,ICOS2020,2018,2020,CRO,10,60.295242,22.391607,Qvidja,26,4,Dfb,Cold,C3,0,,"cold, assumed C3",
FI-Sii,ICOS2020,2016,2020,GRA,160,61.83265,24.19285,Siikaneva,27,4,Dfc,Cold,C3,0,,"cold, assumed C3",
FI-Var,ICOS2020,2016,2020,ENF,395,67.7549,29.61,Varrio,27,4,Dfc,Cold,C3,0,,,
FR-Aur,ICOS2020,2005,2020,CRO,250,43.54965,1.106103,Aurade,14,3,Cfa,Temperate,C3,3.1,"The Auradé station, with ICOS code FR-Aur, is characterized by a winter wheat/rapeseed/winter wheat/sunflower crop rotation since 2004 with now introduction of winter cover crop.",,https://meta.icos-cp.eu/resources/stations/ES_FR-Aur
FR-Bil,ICOS2020,2014,2020,ENF,39,44.493652,-0.956092,Bilos,15,3,Cfb,Temperate,C3,0,,,
FR-FBn,ICOS2020,2008,2020,MF,436,43.24079,5.67865,Font-Blanche,8,3,Csa,Temperate,C3,0,,,
FR-Fon,ICOS2020,2005,2020,DBF,103,48.47636,2.7801,Fontainebleau-Barbeau,15,3,Cfb,Temperate,C3,7.34,,,
FR-Gri,ICOS2020,2004,2020,CRO,125,48.84422,1.95191,Grignon,15,3,Cfb,Temperate,rotation,6.49,"The site itself is representative of the main practice of arable crops farming in France with a crop rotation including wheat, maize and oilseed rape, representing more than 60% of the crops in France.",mixed but more C3,
FR-Hes,ICOS2020,2014,2020,DBF,310,48.6741,7.06465,Hesse,15,3,Cfb,Temperate,C3,3.18,,,
FR-LGt,ICOS2020,2017,2020,WET,153,47.322917,2.284102,La Guette,15,3,Cfb,Temperate,C3,3.82,,,
FR-Lam,ICOS2020,2005,2020,CRO,180,43.496437,1.237878,Lamasquere,14,3,Cfa,Temperate,rotation,3.1,The site is a cropland plot characterized by a maize (Zea mays L.) / winter wheat (Triticum aestivum L.) / maize (Zea mays L.) / winter wheat (Triticum aestivum L.) rotation.,rotation but mainly maize,https://meta.icos-cp.eu/resources/stations/ES_FR-Lam
FR-Tou,ICOS2020,2018,2020,GRA,158,43.572857,1.37474,Toulouse,14,3,Cfa,Temperate,unknown,3.1,The vegetation consists of a grassland cut at least once a year. ,,http://www.umr-cnrm.fr/spip.php?article874&lang=en
GF-Guy,ICOS2020,2004,2020,EBF,48,5.27877,-52.92486,Guyaflux (French Guiana),2,1,Am,Tropical,C3,0,,,
GL-Dsk,ICOS2020,2020,2020,OSH,8,69.25349,-53.51413,Disko,29,5,ET,Polar,C3,0,,,
IE-Cra,ICOS2020,2020,2020,WET,56,53.3229785,-7.641769,Clara,15,3,Cfb,Temperate,C3,0,,,
IL-Yat,ICOS2020,2000,2020,ENF,657,31.34504459,35.05198851,Yatir,7,2,BSk,Arid,C3,0,,,
IT-BCi,ICOS2020,2004,2020,CRO,20,40.52375,14.95744,Borgo Cioffi,8,3,Csa,Temperate,C4,0,"The station Borgo Cioffi (ICOS code IT-BCi) is an agro-ecosystem, typical buffalo farm growing corn and forage, in Mediterranean ecosystem. ",mixed,
IT-BFt,ICOS2020,2019,2020,DBF,23,45.197754,10.741966,Bosco Fontana,14,3,Cfa,Temperate,C3,2.31,,,
IT-Cp2,ICOS2020,2012,2020,EBF,19,41.70427,12.35729,Castelporziano2,8,3,Csa,Temperate,C3,0,,,
IT-Lav,ICOS2020,2003,2020,ENF,1353,45.9562,11.28132,Lavarone,26,4,Dfb,Cold,C3,3.57,,,
IT-Lsn,ICOS2020,2016,2020,OSH,1,45.740482,12.750297,Lison,14,3,Cfa,Temperate,C3,2.7,,,
IT-MBo,ICOS2020,2003,2020,GRA,1550,46.01468,11.04583,Monte Bondone,26,4,Dfb,Cold,C3,1.37,"The area is managed as an extensive meadow with low mineral fertilisation and is cut annually in mid-July. The canopy is dominated by Festuca rubra (L.), Nardus stricta (L.), and Trifolium sp. (L.).",,https://meta.icos-cp.eu/resources/stations/ES_IT-MBo
IT-Ren,ICOS2020,1999,2020,ENF,1730,46.58686,11.43369,Renon,27,4,Dfc,Cold,C3,1.37,,,
IT-SR2,ICOS2020,2013,2020,ENF,4,43.73202,10.29091,San Rossore 2,8,3,Csa,Temperate,C3,0,,,
IT-Tor,ICOS2020,2008,2020,GRA,2160,45.84444,7.57806,Torgnon,27,4,Dfc,Cold,C3,1.76,The area is characterised by an unmanaged subalpine grassland.Daytime,,https://web.p.ebscohost.com/abstract?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10297006&AN=140491648&h=qxIobPHTWA0rF7wzKLaXnT4G4590lqxTmaJYhm9l621CPxbBETxT4w52z3teyPTnVporYKWg85XD0rWURM66dA%3d%3d&crl=c&resultNs=AdminWebAuth&resultLocal=ErrCrlNotAuth&crlhashurl=login.aspx%3fdirect%3dtrue%26profile%3dehost%26scope%3dsite%26authtype%3dcrawler%26jrnl%3d10297006%26AN%3d140491648
RU-Fy2,ICOS2020,2015,2020,ENF,276,56.4476,32.9019,Fyodorovskoye dry spruce,26,4,Dfb,Cold,C3,0.85,,,
RU-Fyo,ICOS2020,1998,2020,ENF,265,56.46153,32.92208,Fyodorovskoye,26,4,Dfb,Cold,C3,0.85,,,
SE-Deg,ICOS2020,2001,2020,WET,270,64.182029,19.556539,Degero,27,4,Dfc,Cold,C3,0,,,
SE-Htm,ICOS2020,2015,2020,ENF,115,56.09763,13.41897,Hyltemossa,26,4,Dfb,Cold,C3,0,,,
SE-Nor,ICOS2020,2014,2020,ENF,45,60.0865,17.479504,Norunda,26,4,Dfb,Cold,C3,0,,,
SE-Ros,ICOS2020,2014,2020,ENF,157,64.1725,19.738,Rosinedal-3,27,4,Dfc,Cold,C3,0,,,
SE-Svb,ICOS2020,2014,2020,ENF,267,64.25611,19.7745,Svartberget,27,4,Dfc,Cold,C3,0,,,
DE-Hte,ICOS2018,2009,2018,WET,1,54.210278,12.176111,Huetelmoor,15,3,Cfb,Temperate,C3,0,,,
FR-EM2,ICOS2018,2017,2018,CRO,,49.87211,3.02065,Estrees-Mons A28,15,3,Cfb,Temperate,mix,6.69,"about 200 km north-east of Paris, in an INRA research station which includes 150 ha of experiments on arable crops (both annual food crops and perennial bioenergy crops).","small experimental plots, should be removed",https://www.mdpi.com/2073-4395/10/12/2016/htm
NL-Loo,ICOS2018,1996,2018,ENF,25,52.16658,5.74356,Loobos,15,3,Cfb,Temperate,C3,0,,,
SE-Lnn,ICOS2018,2014,2018,CRO,71,58.34063,13.10177,Lanna,26,4,Dfb,Cold,C3,0,Temperate agriculture,,http://www.europe-fluxdata.eu/home/site-details?id=SE-Lnn
