site,site_long,pi,lat_icos,lon_icos,Utc Offset,classid_icos,Projects,Fluxes,Mean Annual Temperature,Mean Annual Precpitation,Slope,Exposure,Prevailing Wind Direction,Mean Water Table Depth,Days with snow cover,,
UK-GtF,Great Fen,Ross Morrison,52.470689,-0.192668,,GRA,,CO2-E|H-E|LE-E,10,535,Flat,FLAT,SW,1.3,3,,
UK-Gwr,Glenwherry,Ross Morrison,54.85464,-5.988278,,WET,,CH4-E|CO2-E|H-E|LE-E,9.9,825,Undulated/Variable,SSW,WSW,0.1,,,
UK-Ham,Hampshire,Matthew Wilkinson,51.153533,-0.8583,,DBF,CarboEuropeIP (EU-FP6),CO2-E|H-E|LE-E,9.6,779,,-,225,-9999,,,
UK-Har,Harwood,John Grace,55.21272222,-2.037527777,,ENF,CarboEuropeIP (EU-FP6),,9,950,,,,-9999,,,
UK-Her,Hertfordshire,Keith Goulding,51.78379822,-0.47608,,CRO,CarboEuropeIP (EU-FP6),,,695,,,,-9999,,,
UK-LBT,London_BT,Carole Helfter,51.5215,-0.1389,,URB,,CH4-E|CO2-E|H-E|LE-E|O3-E,11.3,592,,,225,-9999,16,,
UK-Lns,Lonielist,Rebekka Artz,58.391024,-3.765051,,WET,,CH4-E|CO2-E|H-E|LE-E,NULL,,NULL,NULL,NULL,-9999,,,
UK-MrH,Moor House,Ross Morrison,54.695035,-2.388234,,WET,,CO2-E|H-E|LE-E,NULL,,Undulated/Variable,SE,SW,-9999,,,
UK-Myg,Myerscough,Ross Morrison,53.854618,-2.779574,,GRA,,CO2-E|H-E|LE-E,NULL,,Flat,FLAT,SW,-9999,,,
UK-PL1,Pang/Lambourne crop,Richard Harding,51.53329849,-1.483330011,,CRO,,,9.2,800,,,,-9999,,,
UK-PL2,Pang/Lambourne grassland,Richard Harding,51.43330002,-1.233330011,,GRA,,,9.2,800,,,,-9999,,,
UK-PL3,Pang/Lambourne forest,Richard Harding,51.45,-1.266666667,,DBF,CarboEuropeIP (EU-FP6),,9.2,800,"Medium Slope (>2 %, <5%)",to south,WSW,-9999,,,
UK-Png,Penglais_EC1,Jon McCalmont,52.422332,-4.068402,,CRO,,CO2-E|H-E|LE-E,10.1,1074.7,"Medium Slope (>2 %, <5%)",SSW,SSW,-9999,0,,
UK-Po1,Pollybell GGR1,Ross Morrison,53.45704,-0.9139667,,GRA,,CH4-E|CO2-E|H-E|LE-E,NULL,,Flat,FLAT,SW,0.5,,,
UK-Po2,Pollybell GGR2,Ross Morrison,53.45905,-0.9082767,,GRA,,CO2-E|H-E|LE-E,NULL,,Flat,FLAT,SW,0.5,,,
UK-Po3,Pollybell GGR3,Ross Morrison,53.45659,-0.910275,,GRA,,CH4-E|CO2-E|H-E|LE-E,NULL,,Flat,FLAT,SW,0.5,,,
UK-Pob,Pollybell,Ross Morrison,53.430831,-0.922198,,CRO,,CO2-E|H-E|LE-E|N2O-E,10.2,616,Flat,FLAT,SW,1,,,
UK-Rdm,Redmere 2,Ross Morrison,52.442948,0.419533,,CRO,,CO2-E|H-E|LE-E,NULL,,Flat,FLAT,SW,1.5,,,
UK-Rsh,Riseholme,Ross Morrison,53.25981,-0.5257917,,CRO,,CO2-E|H-E|LE-E,NULL,,Gentle slope (<2 %),S,SW,-9999,,,
UK-Stm,Stretham,Ross Morrison,52.331415,0.224473,,CRO,,CO2-E|H-E|LE-E|N2O-E,10.7,535,Flat,NULL,SW,0.5,2,,
UK-Swt,Sawtry,Ross Morrison,52.435915,-0.259556,,CRO,,CO2-E|H-E|LE-E,NULL,,Flat,FLAT,SW,0.68,3,,
UK-Tad,Tadham Moor,Richard Harding,51.20709991,-2.828639984,,GRA,CarboEuroFlux (EU-FP5),,11.1,,,,,-9999,,,
UK-WdC,Waddesdon Control,Ross Morrison,51.82715,-0.948449,,CRO,,CO2-E|H-E|LE-E,-0.948449,,Undulated/Variable,FLAT,SW,-9999,,,
UK-Wdd,Waddesdon,Ross Morrison,51.830757,-0.950881,,CRO,,CO2-E|H-E|LE-E,NULL,,Flat,FLAT,SW,-9999,,,
UK-Wot,Woodwalton,Ross Morrison,52.459926,-0.184811,,GRA,,CO2-E|H-E|LE-E,10,535,Flat,FLAT,SW,1,3,,
UK-WsL,West Lochhills,Rebekka Artz,57.582244,-1.9821112,,GRA,,CH4-E|CO2-E|H-E|LE-E,NULL,,Undulated/Variable,FLAT,SW,1,,,
ZA-Kru,Skukuza,Azwitamisi Mudau,-25.0197,31.4969,2,SAV,CarboAfrica (EU-FP6),,21.9,547,,,SE,-9999,,,
ZA-Map,Malopeni,Azwitamisi Mudau,-23.83254,31.21436,2,SAV,CarboAfrica (EU-FP6),,22.2,458,,,,-9999,,,
ZA-Wgn,Welgegund,Lauri Laakso,-26.56944444,26.93916667,,GRA,,,16,520,,,,-9999,,,
ZM-Mon,Mongu,Werner Kutsch,-15.4391,23.2525,2,DBF,CarboAfrica (EU-FP6),,25,945,Flat,,,-9999,,,
